docno,text
1,"Dex Number: #0001 Bulbasaur Grass · Poison Name: Bulbasaur Type: Grass, Poison Description: A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON."
2,"Dex Number: #0002 Ivysaur Grass · Poison Name: Ivysaur Type: Grass, Poison Description: When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,"Dex Number: #0003 Venusaur Grass · Poison Name: Venusaur Type: Grass, Poison Description: The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight."
4,"Dex Number: #0004 Charmander Fire Name: Charmander Type: Fire Description: Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,"Dex Number: #0005 Charmeleon Fire Name: Charmeleon Type: Fire Description: When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,"Dex Number: #0006 Charizard Fire · Flying Name: Charizard Type: Fire, Flying Description: Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally."
7,"Dex Number: #0007 Squirtle Water Name: Squirtle Type: Water Description: After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,"Dex Number: #0008 Wartortle Water Name: Wartortle Type: Water Description: Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,Dex Number: #0009 Blastoise Water Name: Blastoise Type: Water Description: A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,Dex Number: #0010 Caterpie Bug Name: Caterpie Type: Bug Description: Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,"Dex Number: #0011 Metapod Bug Name: Metapod Type: Bug Description: This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,"Dex Number: #0012 Butterfree Bug · Flying Name: Butterfree Type: Bug, Flying Description: In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,"Dex Number: #0013 Weedle Bug · Poison Name: Weedle Type: Bug, Poison Description: Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,"Dex Number: #0014 Kakuna Bug · Poison Name: Kakuna Type: Bug, Poison Description: Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
15,"Dex Number: #0015 Beedrill Bug · Poison Name: Beedrill Type: Bug, Poison Description: Flies at high speed and attacks using its large venomous stingers on its forelegs and tail."
16,"Dex Number: #0016 Pidgey Normal · Flying Name: Pidgey Type: Normal, Flying Description: A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand."
17,"Dex Number: #0017 Pidgeotto Normal · Flying Name: Pidgeotto Type: Normal, Flying Description: Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
18,"Dex Number: #0018 Pidgeot Normal · Flying Name: Pidgeot Type: Normal, Flying Description: When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,"Dex Number: #0019 Rattata Normal Name: Rattata Type: Normal Description: Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,Dex Number: #0020 Raticate Normal Name: Raticate Type: Normal Description: It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.
21,"Dex Number: #0021 Spearow Normal · Flying Name: Spearow Type: Normal, Flying Description: Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne."
22,"Dex Number: #0022 Fearow Normal · Flying Name: Fearow Type: Normal, Flying Description: With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,"Dex Number: #0023 Ekans Poison Name: Ekans Type: Poison Description: Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,Dex Number: #0024 Arbok Poison Name: Arbok Type: Poison Description: It is rumored that the ferocious warning markings on its belly differ from area to area.
25,"Dex Number: #0025 Pikachu Electric Name: Pikachu Type: Electric Description: When several of these POKéMON gather, their electricity could build and cause lightning storms."
26,Dex Number: #0026 Raichu Electric Name: Raichu Type: Electric Description: Its long tail serves as a ground to protect itself from its own high voltage power.
27,Dex Number: #0027 Sandshrew Ground Name: Sandshrew Type: Ground Description: Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,Dex Number: #0028 Sandslash Ground Name: Sandslash Type: Ground Description: Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,"Dex Number: #0029 Nidoran♀ Poison Name: Nidoran♀ Type: Poison Description: Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
30,Dex Number: #0030 Nidorina Poison Name: Nidorina Type: Poison Description: The female’s horn develops slowly. Prefers physical attacks such as clawing and biting.
31,"Dex Number: #0031 Nidoqueen Poison · Ground Name: Nidoqueen Type: Poison, Ground Description: Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves."
32,"Dex Number: #0032 Nidoran♂ Poison Name: Nidoran♂ Type: Poison Description: Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,Dex Number: #0033 Nidorino Poison Name: Nidorino Type: Poison Description: An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34,"Dex Number: #0034 Nidoking Poison · Ground Name: Nidoking Type: Poison, Ground Description: It uses its powerful tail in battle to smash, constrict, then break the prey’s bones."
35,Dex Number: #0035 Clefairy Fairy Name: Clefairy Type: Fairy Description: Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,Dex Number: #0036 Clefable Fairy Name: Clefable Type: Fairy Description: A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37,"Dex Number: #0037 Vulpix Fire Name: Vulpix Type: Fire Description: At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,Dex Number: #0038 Ninetales Fire Name: Ninetales Type: Fire Description: Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,"Dex Number: #0039 Jigglypuff Normal · Fairy Name: Jigglypuff Type: Normal, Fairy Description: When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,"Dex Number: #0040 Wigglytuff Normal · Fairy Name: Wigglytuff Type: Normal, Fairy Description: The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,"Dex Number: #0041 Zubat Poison · Flying Name: Zubat Type: Poison, Flying Description: Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets."
42,"Dex Number: #0042 Golbat Poison · Flying Name: Golbat Type: Poison, Flying Description: Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,"Dex Number: #0043 Oddish Grass · Poison Name: Oddish Type: Grass, Poison Description: During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,"Dex Number: #0044 Gloom Grass · Poison Name: Gloom Type: Grass, Poison Description: The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey."
45,"Dex Number: #0045 Vileplume Grass · Poison Name: Vileplume Type: Grass, Poison Description: The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
46,"Dex Number: #0046 Paras Bug · Grass Name: Paras Type: Bug, Grass Description: Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host."
47,"Dex Number: #0047 Parasect Bug · Grass Name: Parasect Type: Bug, Grass Description: A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places."
48,"Dex Number: #0048 Venonat Bug · Poison Name: Venonat Type: Bug, Poison Description: Lives in the shadows of tall trees where it eats insects. It is attracted by light at night."
49,"Dex Number: #0049 Venomoth Bug · Poison Name: Venomoth Type: Bug, Poison Description: The dust-like scales covering its wings are color coded to indicate the kinds of poison it has."
50,Dex Number: #0050 Diglett Ground Name: Diglett Type: Ground Description: Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,Dex Number: #0051 Dugtrio Ground Name: Dugtrio Type: Ground Description: A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,Dex Number: #0052 Meowth Normal Name: Meowth Type: Normal Description: Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
53,"Dex Number: #0053 Persian Normal Name: Persian Type: Normal Description: Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,"Dex Number: #0054 Psyduck Water Name: Psyduck Type: Water Description: While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
55,"Dex Number: #0055 Golduck Water Name: Golduck Type: Water Description: Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,Dex Number: #0056 Mankey Fighting Name: Mankey Type: Fighting Description: Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,Dex Number: #0057 Primeape Fighting Name: Primeape Type: Fighting Description: Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,Dex Number: #0058 Growlithe Fire Name: Growlithe Type: Fire Description: Very protective of its territory. It will bark and bite to repel intruders from its space.
59,Dex Number: #0059 Arcanine Fire Name: Arcanine Type: Fire Description: A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.
60,Dex Number: #0060 Poliwag Water Name: Poliwag Type: Water Description: Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,"Dex Number: #0061 Poliwhirl Water Name: Poliwhirl Type: Water Description: Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,"Dex Number: #0062 Poliwrath Water · Fighting Name: Poliwrath Type: Water, Fighting Description: An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers."
63,"Dex Number: #0063 Abra Psychic Name: Abra Type: Psychic Description: Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,Dex Number: #0064 Kadabra Psychic Name: Kadabra Type: Psychic Description: It emits special alpha waves from its body that induce headaches just by being close by.
65,"Dex Number: #0065 Alakazam Psychic Name: Alakazam Type: Psychic Description: Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
66,Dex Number: #0066 Machop Fighting Name: Machop Type: Fighting Description: Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,"Dex Number: #0067 Machoke Fighting Name: Machoke Type: Fighting Description: Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,"Dex Number: #0068 Machamp Fighting Name: Machamp Type: Fighting Description: Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,"Dex Number: #0069 Bellsprout Grass · Poison Name: Bellsprout Type: Grass, Poison Description: A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture."
70,"Dex Number: #0070 Weepinbell Grass · Poison Name: Weepinbell Type: Grass, Poison Description: It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID."
71,"Dex Number: #0071 Victreebel Grass · Poison Name: Victreebel Type: Grass, Poison Description: Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,"Dex Number: #0072 Tentacool Water · Poison Name: Tentacool Type: Water, Poison Description: Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid."
73,"Dex Number: #0073 Tentacruel Water · Poison Name: Tentacruel Type: Water, Poison Description: The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
